Movie,IMDB
Fast Five,tt1596343
Kindergarten Cop,tt0099938
Star Wars: Episode VIII - The Last Jedi,tt2527336
In Time,tt1637688
Star Wars: Episode III - Revenge of the Sith,tt0121766
Predestination,tt2397535
Underworld,tt0320691
Law Abiding Citizen,tt1197624
The Fast and the Furious: Tokyo Drift,tt0463985
Kantara,tt15327088
Army of Thieves,tt13024674
Mission: Impossible - Ghost Protocol,tt1229238
Zombieland,tt1156398
The New Mutants,tt4682266
Bad Boys II,tt0172156
The Running Man,tt0093894
Dr. No,tt0055928
How to Train Your Dragon,tt0892769
Samaritan,tt5500218
Cowboys & Aliens,tt0409847
The Equalizer 2,tt3766354
The Last Airbender,tt0938283
Snowpiercer,tt1706620
The Man from Toronto,tt11671006
Godzilla vs. Kong,tt5034838
The Meg,tt4779682
Speed,tt0111257
Cloverfield,tt1060277
Solo: A Star Wars Story,tt3778644
Children of Men,tt0206634
Spectre,tt2379713
Bad Boys for Life,tt1502397
Taken,tt0936501
Extraction,tt8936646
Doctor Strange,tt1211837
Tomb Raider,tt1365519
Iron Man Three,tt1300854
Riddick,tt1411250
The Bourne Identity,tt0258463
The Old Guard,tt7556122
28 Weeks Later,tt0463854
Stargate,tt0111282
Dick Tracy,tt0099422
The Tomorrow War,tt9777666
"Crouching Tiger, Hidden Dragon",tt0190332
The Last of the Mohicans,tt0104691
Lightyear,tt10298810
Hitman's Wife's Bodyguard,tt8385148
To Live and Die in L.A.,tt0090180
Night Train,tt15727212
Hunter Killer,tt1846589
X-Men: Apocalypse,tt3385516
Men in Black 3,tt1409024
Spider-Man 3,tt0413300
War,tt7430722
Valerian and the City of a Thousand Planets,tt2239822
Maneater,tt15262370
Terminator 3: Rise of the Machines,tt0181852
Deep Impact,tt0120647
Super 8,tt1650062
Layer Cake,tt0375912
I Am Legend,tt0480249
Blacklight,tt14060094
Zoom,tt0383060
Game Night,tt2704998
Anna,tt7456310
Old Henry,tt12731980
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882
Man on Fire,tt0328107
Captain America: The Winter Soldier,tt1843866
Deep Blue Sea,tt0149261
Sherlock Holmes,tt0988045
Mr. & Mrs. Smith,tt0356910
First Blood,tt0083944
Superman,tt0078346
A History of Violence,tt0399146
Venom: Let There Be Carnage,tt7097896
Spider-Man: Far from Home,tt6320628
Pirates of the Caribbean: Dead Man's Chest,tt0383574
The Mummy,tt2345759
San Andreas,tt2126355
Greyhound,tt6048922
The Other Guys,tt1386588
Sicario: Day of the Soldado,tt5052474
The Fugitive,tt0106977
Furious 6,tt1905041
Lone Survivor,tt1091191
The Amazing Spider-Man,tt0948470
King Kong,tt0360717
Face/Off,tt0119094
Incredibles 2,tt3606756
Jumanji: The Next Level,tt7975244
Unbroken,tt1809398
Napoleon,tt13287846
The Mask,tt0110475
Star Wars: Episode II - Attack of the Clones,tt0121765
American Sniper,tt2179136
